Comunidades_autonomas;Gastos_y_duracion_media_de_los_viajes;Tipo_de_dato;Periodo;Total
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M08;7.27
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M07;6.99
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M06;7.27
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M05;5.84
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M04;5.3
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M03;4.85
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M02;5.16
Comunidad de Madrid;Duracion media de los viajes;Dato base;2017M01;6.35
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M12;5.78
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M11;5.38
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M10;6.14
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M09;5.85
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M08;7.25
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M07;8.33
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M06;7.94
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M05;5.58
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M04;5.22
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M03;6.24
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M02;5.46
Comunidad de Madrid;Duracion media de los viajes;Dato base;2016M01;7
Comunidad de Madrid;Duracion media de los viajes;Dato base;2015M12;5.62
Comunidad de Madrid;Duracion media de los viajes;Dato base;2015M11;5.64
Comunidad de Madrid;Duracion media de los viajes;Dato base;2015M10;5.23
Otras Comunidades Autonomas;Gasto total;Dato base;2020M03;163.75
Otras Comunidades Autonomas;Gasto total;Dato base;2020M02;326.36
Otras Comunidades Autonomas;Gasto total;Dato base;2020M01;346.58
Otras Comunidades Autonomas;Gasto total;Dato base;2019M12;361.99
Otras Comunidades Autonomas;Gasto total;Dato base;2019M11;369.24
Otras Comunidades Autonomas;Gasto total;Dato base;2019M10;621.11
Otras Comunidades Autonomas;Gasto total;Dato base;2019M09;704.77
Otras Comunidades Autonomas;Gasto total;Dato base;2019M08;943.73
Otras Comunidades Autonomas;Gasto total;Dato base;2019M07;857.06
Otras Comunidades Autonomas;Gasto total;Dato base;2019M06;678.32
Otras Comunidades Autonomas;Gasto total;Dato base;2019M05;573.63
Otras Comunidades Autonomas;Gasto total;Dato base;2019M04;503.52
Otras Comunidades Autonomas;Gasto total;Dato base;2019M03;355.14
Otras Comunidades Autonomas;Gasto total;Dato base;2019M02;302.93
Otras Comunidades Autonomas;Gasto total;Dato base;2019M01;330.59
Otras Comunidades Autonomas;Gasto total;Dato base;2018M12;340.52
Otras Comunidades Autonomas;Gasto total;Dato base;2018M11;353.3
Otras Comunidades Autonomas;Gasto total;Dato base;2018M10;614.82
Otras Comunidades Autonomas;Gasto total;Dato base;2018M09;678.9
Otras Comunidades Autonomas;Gasto total;Dato base;2018M08;917.44
Otras Comunidades Autonomas;Gasto total;Dato base;2018M07;805.71
Otras Comunidades Autonomas;Gasto total;Dato base;2018M06;621.18
Otras Comunidades Autonomas;Gasto total;Dato base;2018M05;629.7
Otras Comunidades Autonomas;Gasto total;Dato base;2018M04;519.24
Otras Comunidades Autonomas;Gasto total;Dato base;2018M03;408.79
Otras Comunidades Autonomas;Gasto total;Dato base;2018M02;285.98
Otras Comunidades Autonomas;Gasto total;Dato base;2018M01;383.72
Otras Comunidades Autonomas;Gasto total;Dato base;2017M12;343.82
Otras Comunidades Autonomas;Gasto total;Dato base;2017M11;359.98
Otras Comunidades Autonomas;Gasto total;Dato base;2017M10;567.35
Otras Comunidades Autonomas;Gasto total;Dato base;2017M09;688.53
Otras Comunidades Autonomas;Gasto total;Dato base;2017M08;832.96
Otras Comunidades Autonomas;Gasto total;Dato base;2017M07;947.33
Otras Comunidades Autonomas;Gasto total;Dato base;2017M06;617.95
Otras Comunidades Autonomas;Gasto total;Dato base;2017M05;540.27
Otras Comunidades Autonomas;Gasto total;Dato base;2017M04;480.9
Otras Comunidades Autonomas;Gasto total;Dato base;2017M03;360.26
Otras Comunidades Autonomas;Gasto total;Dato base;2017M02;266.76
Otras Comunidades Autonomas;Gasto total;Dato base;2017M01;333.45
Otras Comunidades Autonomas;Gasto total;Dato base;2016M12;366.21
Otras Comunidades Autonomas;Gasto total;Dato base;2016M11;311.5
Otras Comunidades Autonomas;Gasto total;Dato base;2016M10;537.78
Otras Comunidades Autonomas;Gasto total;Dato base;2016M09;654.33
Otras Comunidades Autonomas;Gasto total;Dato base;2016M08;807.45
Otras Comunidades Autonomas;Gasto total;Dato base;2016M07;699.37
Otras Comunidades Autonomas;Gasto total;Dato base;2016M06;567.8
Otras Comunidades Autonomas;Gasto total;Dato base;2016M05;430.35
Otras Comunidades Autonomas;Gasto total;Dato base;2016M04;371.61
Otras Comunidades Autonomas;Gasto total;Dato base;2016M03;297.68
Otras Comunidades Autonomas;Gasto total;Dato base;2016M02;219.5
Otras Comunidades Autonomas;Gasto total;Dato base;2016M01;255.58
Otras Comunidades Autonomas;Gasto total;Dato base;2015M12;338.46
Otras Comunidades Autonomas;Gasto total;Dato base;2015M11;266.94
Otras Comunidades Autonomas;Gasto total;Dato base;2015M10;506.15
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2020M03;720
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2020M02;757
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2020M01;841
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M12;803
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M11;852
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M10;841
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M09;829
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M08;751
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M07;858
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M06;840
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M05;821
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M04;724
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M03;728
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M02;756
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2019M01;802
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M12;776
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M11;832
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M10;840
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M09;816
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M08;740
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M07;837
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M06;950
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M05;826
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M04;711
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M03;901
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M02;846
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2018M01;927
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M12;825
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M11;822
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M10;879
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M09;852
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M08;694
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M07;852
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M06;972
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M05;830
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M04;794
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M03;849
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M02;838
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2017M01;969
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M12;943
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M11;794
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M10;865
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M09;906
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M08;709
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M07;791
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M06;984
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M05;783
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M04;668
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M03;728
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M02;749
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2016M01;910
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2015M12;907
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2015M11;839
Otras Comunidades Autonomas;Gasto medio por persona;Dato base;2015M10;789
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2020M03;125
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2020M02;115
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2020M01;98
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M12;95
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M11;122
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M10;130
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M09;111
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M08;98
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M07;121
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M06;131
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M05;132
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M04;133
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M03;127
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M02;123
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2019M01;98
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M12;94
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M11;132
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M10;118
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M09;102
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M08;98
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M07;106
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M06;131
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M05;121
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M04;111
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M03;117
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M02;102
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2018M01;98
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M12;86
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M11;108
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M10;133
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M09;117
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M08;91
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M07;113
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M06;120
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M05;127
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M04;113
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M03;124
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M02;119
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2017M01;105
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M12;93
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M11;108
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M10;111
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M09;103
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M08;88
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M07;106
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M06;105
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M05;115
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M04;102
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M03;109
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M02;109
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2016M01;87
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2015M12;91
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2015M11;118
Otras Comunidades Autonomas;Gasto medio diario por persona;Dato base;2015M10;100
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2020M03;5.77
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2020M02;6.59
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2020M01;8.57
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M12;8.43
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M11;6.99
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M10;6.48
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M09;7.47
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M08;7.67
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M07;7.07
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M06;6.41
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M05;6.22
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M04;5.44
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M03;5.74
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M02;6.14
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2019M01;8.18
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M12;8.26
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M11;6.29
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M10;7.12
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M09;8.03
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M08;7.54
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M07;7.88
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M06;7.27
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M05;6.85
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M04;6.39
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M03;7.69
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M02;8.27
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2018M01;9.47
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M12;9.62
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M11;7.61
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M10;6.6
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M09;7.27
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M08;7.61
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M07;7.54
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M06;8.08
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M05;6.54
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M04;7.05
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M03;6.85
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M02;7.03
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2017M01;9.24
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M12;10.14
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M11;7.35
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M10;7.77
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M09;8.78
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M08;8.05
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M07;7.43
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M06;9.4
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M05;6.81
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M04;6.53
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M03;6.67
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M02;6.86
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2016M01;10.46
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2015M12;10.01
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2015M11;7.1
Otras Comunidades Autonomas;Duracion media de los viajes;Dato base;2015M10;7.92
